Beta,Accuracy,F1,Precision,Recall
1,0.9495,0.7619,0.6667,0.8889
2,0.9697,0.8421,0.8,0.8889
3,0.9697,0.8421,0.8,0.8889
4,0.9596,0.8,0.7273,0.8889
5,0.9596,0.8,0.7273,0.8889
6,0.9596,0.8,0.7273,0.8889
7,0.9596,0.8,0.7273,0.8889
8,0.9596,0.8,0.7273,0.8889
9,0.9596,0.8,0.7273,0.8889
10,0.9596,0.8,0.7273,0.8889
